Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
841198254,54,cuGetProcAddress,0,211,1656042,1656042,20,python
841198353,52,cuGetProcAddress,0,212,1656042,1656042,20,python
841198449,37,cuGetProcAddress,0,213,1656042,1656042,20,python
841198530,57,cuGetProcAddress,0,214,1656042,1656042,20,python
841198635,54,cuGetProcAddress,0,215,1656042,1656042,20,python
841198733,65,cuGetProcAddress,0,216,1656042,1656042,20,python
841198843,59,cuGetProcAddress,0,217,1656042,1656042,20,python
841198948,46,cuGetProcAddress,0,218,1656042,1656042,20,python
841199039,39,cuGetProcAddress,0,219,1656042,1656042,20,python
841199122,52,cuGetProcAddress,0,220,1656042,1656042,20,python
841199217,48,cuGetProcAddress,0,221,1656042,1656042,20,python
841199309,46,cuGetProcAddress,0,222,1656042,1656042,20,python
841199399,46,cuGetProcAddress,0,223,1656042,1656042,20,python
841199489,52,cuGetProcAddress,0,224,1656042,1656042,20,python
841199586,43,cuGetProcAddress,0,225,1656042,1656042,20,python
841199673,55,cuGetProcAddress,0,226,1656042,1656042,20,python
841199773,52,cuGetProcAddress,0,227,1656042,1656042,20,python
841199869,50,cuGetProcAddress,0,228,1656042,1656042,20,python
841199964,51,cuGetProcAddress,0,229,1656042,1656042,20,python
841200060,106,cuGetProcAddress,0,230,1656042,1656042,20,python
841200211,41,cuGetProcAddress,0,231,1656042,1656042,20,python
841200296,52,cuGetProcAddress,0,232,1656042,1656042,20,python
841200392,45,cuGetProcAddress,0,233,1656042,1656042,20,python
841200483,45,cuGetProcAddress,0,234,1656042,1656042,20,python
841200573,46,cuGetProcAddress,0,235,1656042,1656042,20,python
841200664,53,cuGetProcAddress,0,236,1656042,1656042,20,python
841200762,47,cuGetProcAddress,0,237,1656042,1656042,20,python
841200853,65,cuGetProcAddress,0,238,1656042,1656042,20,python
841200963,60,cuGetProcAddress,0,239,1656042,1656042,20,python
841201068,118,cuGetProcAddress,0,240,1656042,1656042,20,python
841201231,71,cuGetProcAddress,0,241,1656042,1656042,20,python
841201347,68,cuGetProcAddress,0,242,1656042,1656042,20,python
841201459,47,cuGetProcAddress,0,243,1656042,1656042,20,python
841201552,53,cuGetProcAddress,0,244,1656042,1656042,20,python
841201649,89,cuGetProcAddress,0,245,1656042,1656042,20,python
841201783,99,cuGetProcAddress,0,246,1656042,1656042,20,python
841201927,56,cuGetProcAddress,0,247,1656042,1656042,20,python
841202027,48,cuGetProcAddress,0,248,1656042,1656042,20,python
841202119,52,cuGetProcAddress,0,249,1656042,1656042,20,python
841202215,53,cuGetProcAddress,0,250,1656042,1656042,20,python
841202314,66,cuGetProcAddress,0,251,1656042,1656042,20,python
841202426,52,cuGetProcAddress,0,252,1656042,1656042,20,python
841202522,104,cuGetProcAddress,0,253,1656042,1656042,20,python
841202671,77,cuGetProcAddress,0,254,1656042,1656042,20,python
841202793,72,cuGetProcAddress,0,255,1656042,1656042,20,python
841202963,80,cuGetProcAddress,0,256,1656042,1656042,20,python
841203088,121,cuGetProcAddress,0,257,1656042,1656042,20,python
841203252,45,cuGetProcAddress,0,258,1656042,1656042,20,python
841203342,103,cuGetProcAddress,0,259,1656042,1656042,20,python
841203489,78,cuGetProcAddress,0,260,1656042,1656042,20,python
841203611,66,cuGetProcAddress,0,261,1656042,1656042,20,python
841203722,67,cuGetProcAddress,0,262,1656042,1656042,20,python
841203834,196,cuGetProcAddress,0,263,1656042,1656042,20,python
841204074,51,cuGetProcAddress,0,264,1656042,1656042,20,python
841204170,59,cuGetProcAddress,0,265,1656042,1656042,20,python
841204274,113,cuGetProcAddress,0,266,1656042,1656042,20,python
841204431,70,cuGetProcAddress,0,267,1656042,1656042,20,python
841204546,51,cuGetProcAddress,0,268,1656042,1656042,20,python
841204642,68,cuGetProcAddress,0,269,1656042,1656042,20,python
841204759,65,cuGetProcAddress,0,270,1656042,1656042,20,python
841204868,68,cuGetProcAddress,0,271,1656042,1656042,20,python
841204981,102,cuGetProcAddress,0,272,1656042,1656042,20,python
841205127,53,cuGetProcAddress,0,273,1656042,1656042,20,python
841205225,59,cuGetProcAddress,0,274,1656042,1656042,20,python
841205329,51,cuGetProcAddress,0,275,1656042,1656042,20,python
841205425,73,cuGetProcAddress,0,276,1656042,1656042,20,python
841205543,59,cuGetProcAddress,0,277,1656042,1656042,20,python
841205646,90,cuGetProcAddress,0,278,1656042,1656042,20,python
841205781,117,cuGetProcAddress,0,279,1656042,1656042,20,python
841205943,62,cuGetProcAddress,0,280,1656042,1656042,20,python
841206050,52,cuGetProcAddress,0,281,1656042,1656042,20,python
841206146,55,cuGetProcAddress,0,282,1656042,1656042,20,python
841206247,111,cuGetProcAddress,0,283,1656042,1656042,20,python
841206403,91,cuGetProcAddress,0,284,1656042,1656042,20,python
841206538,68,cuGetProcAddress,0,285,1656042,1656042,20,python
841206650,45,cuGetProcAddress,0,286,1656042,1656042,20,python
841206739,114,cuGetProcAddress,0,287,1656042,1656042,20,python
841206897,50,cuGetProcAddress,0,288,1656042,1656042,20,python
841206991,159,cuGetProcAddress,0,289,1656042,1656042,20,python
841207194,73,cuGetProcAddress,0,290,1656042,1656042,20,python
841207311,108,cuGetProcAddress,0,291,1656042,1656042,20,python
841207463,83,cuGetProcAddress,0,292,1656042,1656042,20,python
841207590,56,cuGetProcAddress,0,293,1656042,1656042,20,python
841207691,51,cuGetProcAddress,0,294,1656042,1656042,20,python
841207785,69,cuGetProcAddress,0,295,1656042,1656042,20,python
841207898,70,cuGetProcAddress,0,296,1656042,1656042,20,python
841208012,93,cuGetProcAddress,0,297,1656042,1656042,20,python
841208149,59,cuGetProcAddress,0,298,1656042,1656042,20,python
841208252,55,cuGetProcAddress,0,299,1656042,1656042,20,python
841208351,82,cuGetProcAddress,0,300,1656042,1656042,20,python
841208477,62,cuGetProcAddress,0,301,1656042,1656042,20,python
841208586,52,cuGetProcAddress,0,302,1656042,1656042,20,python
841208682,71,cuGetProcAddress,0,303,1656042,1656042,20,python
841208797,48,cuGetProcAddress,0,304,1656042,1656042,20,python
841208889,74,cuGetProcAddress,0,305,1656042,1656042,20,python
841209008,60,cuGetProcAddress,0,306,1656042,1656042,20,python
841209113,51,cuGetProcAddress,0,307,1656042,1656042,20,python
841209207,50,cuGetProcAddress,0,308,1656042,1656042,20,python
841209301,52,cuGetProcAddress,0,309,1656042,1656042,20,python
841209398,62,cuGetProcAddress,0,310,1656042,1656042,20,python
841209505,56,cuGetProcAddress,0,311,1656042,1656042,20,python
841209605,43,cuGetProcAddress,0,312,1656042,1656042,20,python
841209692,74,cuGetProcAddress,0,313,1656042,1656042,20,python
841209809,61,cuGetProcAddress,0,314,1656042,1656042,20,python
841209914,47,cuGetProcAddress,0,315,1656042,1656042,20,python
841210005,43,cuGetProcAddress,0,316,1656042,1656042,20,python
841210102,86,cuGetProcAddress,0,317,1656042,1656042,20,python
841210232,68,cuGetProcAddress,0,318,1656042,1656042,20,python
841210344,94,cuGetProcAddress,0,319,1656042,1656042,20,python
841210483,61,cuGetProcAddress,0,320,1656042,1656042,20,python
841210588,70,cuGetProcAddress,0,321,1656042,1656042,20,python
841210703,100,cuGetProcAddress,0,322,1656042,1656042,20,python
841210848,67,cuGetProcAddress,0,323,1656042,1656042,20,python
841210960,61,cuGetProcAddress,0,324,1656042,1656042,20,python
841211067,56,cuGetProcAddress,0,325,1656042,1656042,20,python
841211167,59,cuGetProcAddress,0,326,1656042,1656042,20,python
841211270,53,cuGetProcAddress,0,327,1656042,1656042,20,python
841211367,58,cuGetProcAddress,0,328,1656042,1656042,20,python
841211470,48,cuGetProcAddress,0,329,1656042,1656042,20,python
841211562,47,cuGetProcAddress,0,330,1656042,1656042,20,python
841211653,51,cuGetProcAddress,0,331,1656042,1656042,20,python
841211748,41,cuGetProcAddress,0,332,1656042,1656042,20,python
841211833,64,cuGetProcAddress,0,333,1656042,1656042,20,python
841211940,62,cuGetProcAddress,0,334,1656042,1656042,20,python
841212046,56,cuGetProcAddress,0,335,1656042,1656042,20,python
841212146,55,cuGetProcAddress,0,336,1656042,1656042,20,python
841212320,66,cuGetProcAddress,0,337,1656042,1656042,20,python
841212430,62,cuGetProcAddress,0,338,1656042,1656042,20,python
841212536,149,cuGetProcAddress,0,339,1656042,1656042,20,python
841212729,72,cuGetProcAddress,0,340,1656042,1656042,20,python
841212844,85,cuGetProcAddress,0,341,1656042,1656042,20,python
841212974,59,cuGetProcAddress,0,342,1656042,1656042,20,python
841213077,50,cuGetProcAddress,0,343,1656042,1656042,20,python
841213172,49,cuGetProcAddress,0,344,1656042,1656042,20,python
841213265,51,cuGetProcAddress,0,345,1656042,1656042,20,python
841213361,50,cuGetProcAddress,0,346,1656042,1656042,20,python
841213455,67,cuGetProcAddress,0,347,1656042,1656042,20,python
841213566,45,cuGetProcAddress,0,348,1656042,1656042,20,python
841213655,73,cuGetProcAddress,0,349,1656042,1656042,20,python
841213773,44,cuGetProcAddress,0,350,1656042,1656042,20,python
841213861,52,cuGetProcAddress,0,351,1656042,1656042,20,python
841213957,50,cuGetProcAddress,0,352,1656042,1656042,20,python
841214050,58,cuGetProcAddress,0,353,1656042,1656042,20,python
841214153,173,cuGetProcAddress,0,354,1656042,1656042,20,python
841214372,54,cuGetProcAddress,0,355,1656042,1656042,20,python
841214470,60,cuGetProcAddress,0,356,1656042,1656042,20,python
841214575,70,cuGetProcAddress,0,357,1656042,1656042,20,python
841214689,54,cuGetProcAddress,0,358,1656042,1656042,20,python
841214786,44,cuGetProcAddress,0,359,1656042,1656042,20,python
841214874,78,cuGetProcAddress,0,360,1656042,1656042,20,python
841214997,64,cuGetProcAddress,0,361,1656042,1656042,20,python
841215105,54,cuGetProcAddress,0,362,1656042,1656042,20,python
841215202,55,cuGetProcAddress,0,363,1656042,1656042,20,python
841215301,78,cuGetProcAddress,0,364,1656042,1656042,20,python
841215422,56,cuGetProcAddress,0,365,1656042,1656042,20,python
841215522,66,cuGetProcAddress,0,366,1656042,1656042,20,python
841215633,53,cuGetProcAddress,0,367,1656042,1656042,20,python
841215730,74,cuGetProcAddress,0,368,1656042,1656042,20,python
841215848,67,cuGetProcAddress,0,369,1656042,1656042,20,python
841215959,79,cuGetProcAddress,0,370,1656042,1656042,20,python
841216082,55,cuGetProcAddress,0,371,1656042,1656042,20,python
841216181,87,cuGetProcAddress,0,372,1656042,1656042,20,python
841216312,53,cuGetProcAddress,0,373,1656042,1656042,20,python
841216409,76,cuGetProcAddress,0,374,1656042,1656042,20,python
841216529,51,cuGetProcAddress,0,375,1656042,1656042,20,python
841216624,60,cuGetProcAddress,0,376,1656042,1656042,20,python
841216727,73,cuGetProcAddress,0,377,1656042,1656042,20,python
841216845,86,cuGetProcAddress,0,378,1656042,1656042,20,python
841216976,77,cuGetProcAddress,0,379,1656042,1656042,20,python
841217097,63,cuGetProcAddress,0,380,1656042,1656042,20,python
841217204,61,cuGetProcAddress,0,381,1656042,1656042,20,python
841217310,51,cuGetProcAddress,0,382,1656042,1656042,20,python
841217406,52,cuGetProcAddress,0,383,1656042,1656042,20,python
841217502,87,cuGetProcAddress,0,384,1656042,1656042,20,python
841217634,64,cuGetProcAddress,0,385,1656042,1656042,20,python
841217742,105,cuGetProcAddress,0,386,1656042,1656042,20,python
841217891,83,cuGetProcAddress,0,387,1656042,1656042,20,python
841218018,70,cuGetProcAddress,0,388,1656042,1656042,20,python
841218131,48,cuGetProcAddress,0,389,1656042,1656042,20,python
841218224,62,cuGetProcAddress,0,390,1656042,1656042,20,python
841218330,47,cuGetProcAddress,0,391,1656042,1656042,20,python
841218422,83,cuGetProcAddress,0,392,1656042,1656042,20,python
841218550,129,cuGetProcAddress,0,393,1656042,1656042,20,python
841218728,88,cuGetProcAddress,0,394,1656042,1656042,20,python
841218859,61,cuGetProcAddress,0,395,1656042,1656042,20,python
841218963,107,cuGetProcAddress,0,396,1656042,1656042,20,python
841219114,91,cuGetProcAddress,0,397,1656042,1656042,20,python
841219248,82,cuGetProcAddress,0,398,1656042,1656042,20,python
841219374,74,cuGetProcAddress,0,399,1656042,1656042,20,python
841219492,56,cuGetProcAddress,0,400,1656042,1656042,20,python
841219599,77,cuGetProcAddress,0,401,1656042,1656042,20,python
841219720,56,cuGetProcAddress,0,402,1656042,1656042,20,python
841219820,64,cuGetProcAddress,0,403,1656042,1656042,20,python
841219929,52,cuGetProcAddress,0,404,1656042,1656042,20,python
841220026,49,cuGetProcAddress,0,405,1656042,1656042,20,python
841220124,45,cuGetProcAddress,0,406,1656042,1656042,20,python
841220214,45,cuGetProcAddress,0,407,1656042,1656042,20,python
841220303,80,cuGetProcAddress,0,408,1656042,1656042,20,python
841220432,67,cuGetProcAddress,0,409,1656042,1656042,20,python
